id,word,image,zh
accident,accident,assets/accident.png,意外
accidentally,accidentally,assets/accidentally.png,意外地
actual,actual,assets/actual.png,实际的
actually,actually,assets/actually.png,实际上
address,address,assets/address.png,地址
although,although,assets/although.png,尽管
answer,answer,assets/answer.png,回答
appear,appear,assets/appear.png,出现
arrive,arrive,assets/arrive.png,到达
believe,believe,assets/believe.png,相信
bicycle,bicycle,assets/bicycle.png,自行车
breath,breath,assets/breath.png,呼吸
breathe,breathe,assets/breathe.png,呼吸
build,build,assets/build.png,建造
busy,busy,assets/busy.png,忙碌的
business,business,assets/business.png,生意
calendar,calendar,assets/calendar.png,日历
caught,caught,assets/caught.png,抓到
centre,centre,assets/centre.png,中心
century,century,assets/century.png,世纪
certain,certain,assets/certain.png,确定的
circle,circle,assets/circle.png,圆圈
complete,complete,assets/complete.png,完成
consider,consider,assets/consider.png,考虑
continue,continue,assets/continue.png,继续
decide,decide,assets/decide.png,决定
describe,describe,assets/describe.png,描述
different,different,assets/different.png,不同的
difficult,difficult,assets/difficult.png,困难的
disappear,disappear,assets/disappear.png,消失
early,early,assets/early.png,早的
earth,earth,assets/earth.png,大地
eight,eight,assets/eight.png,八
eighth,eighth,assets/eighth.png,第八
enough,enough,assets/enough.png,足够的
exercise,exercise,assets/exercise.png,练习
experience,experience,assets/experience.png,经验
experiment,experiment,assets/experiment.png,实验
extreme,extreme,assets/extreme.png,极端的
famous,famous,assets/famous.png,有名的
favourite,favourite,assets/favourite.png,最喜欢的
february,February,assets/february.png,二月
forward,forward,assets/forward.png,往前
forwards,forwards,assets/forwards.png,往前
fruit,fruit,assets/fruit.png,水果
grammar,grammar,assets/grammar.png,语法
group,group,assets/group.png,组
guard,guard,assets/guard.png,守卫
guide,guide,assets/guide.png,指引
heard,heard,assets/heard.png,听到
heart,heart,assets/heart.png,心
height,height,assets/height.png,高度
history,history,assets/history.png,历史
imagine,imagine,assets/imagine.png,想象
increase,increase,assets/increase.png,增加
important,important,assets/important.png,重要的
interest,interest,assets/interest.png,兴趣
island,island,assets/island.png,岛屿
knowledge,knowledge,assets/knowledge.png,知识
learn,learn,assets/learn.png,学习
length,length,assets/length.png,长度
library,library,assets/library.png,图书馆
material,material,assets/material.png,材料
medicine,medicine,assets/medicine.png,药
mention,mention,assets/mention.png,提到
minute,minute,assets/minute.png,分钟
natural,natural,assets/natural.png,自然的
naughty,naughty,assets/naughty.png,顽皮的
notice,notice,assets/notice.png,注意到
occasion,occasion,assets/occasion.png,场合
occasionally,occasionally,assets/occasionally.png,偶尔地
often,often,assets/often.png,经常
opposite,opposite,assets/opposite.png,对立的
ordinary,ordinary,assets/ordinary.png,普通的
particular,particular,assets/particular.png,特定的
peculiar,peculiar,assets/peculiar.png,奇特的
perhaps,perhaps,assets/perhaps.png,也许
popular,popular,assets/popular.png,流行的
position,position,assets/position.png,位置
possess,possess,assets/possess.png,拥有
possession,possession,assets/possession.png,所有物
possible,possible,assets/possible.png,可能的
potatoes,potatoes,assets/potatoes.png,土豆
pressure,pressure,assets/pressure.png,压力
probably,probably,assets/probably.png,很可能
promise,promise,assets/promise.png,承诺
purpose,purpose,assets/purpose.png,目的
quarter,quarter,assets/quarter.png,四分之一
question,question,assets/question.png,问题
recent,recent,assets/recent.png,最近的
regular,regular,assets/regular.png,有规律的
reign,reign,assets/reign.png,统治
remember,remember,assets/remember.png,记得
sentence,sentence,assets/sentence.png,句子
separate,separate,assets/separate.png,分开
special,special,assets/special.png,特别的
straight,straight,assets/straight.png,直的
strange,strange,assets/strange.png,奇怪的
strength,strength,assets/strength.png,力量
suppose,suppose,assets/suppose.png,认为
surprise,surprise,assets/surprise.png,惊喜
therefore,therefore,assets/therefore.png,因此
though,though,assets/though.png,尽管
thought,thought,assets/thought.png,想法
through,through,assets/through.png,通过
various,various,assets/various.png,多种多样的
weight,weight,assets/weight.png,重量
woman,woman,assets/woman.png,女人
women,women,assets/women.png,女人们
